Genre,combined score,Reading ONLY,Working Memory ONLY
Indian Classical,0.2707084869,90.48%,3.3422
Indian Classical,0.2838221381,85.71%,3.0200
Indian Classical,0.2624822228,52.38%,1.9956
Indian Classical,0.2974038212,90.48%,3.0422
Indian Classical,0.2367028683,80.95%,3.4200
