Genre,combined score,Reading ONLY,Working Memory ONLY
Control/No Music,0.3432003432,76.19%,2.2200
Control/No Music,0.284700751,71.43%,2.5089
Control/No Music,0.1800705156,71.43%,3.9667
Control/No Music,0.2261904762,90.48%,4.0000
