Genre,combined score,Reading ONLY,Working Memory ONLY
Western Classical,0.2446183953,0.7143,2.9200
Western Classical,0.2218278616,0.7143,3.2200
Western Classical,0.2637370752,0.9524,3.6111
Western Classical,0.2144482,0.6190,2.8867
