Genre,combined score,Reading ONLY,Working Memory ONLY
Jazz,0.5584950029,0.9048,1.6200
Jazz,0.3792684291,0.9524,2.5111
Jazz,0.847136678,0.8095,0.9556
Jazz,0.2550974855,0.4762,1.8667
