Genre,combined score,Reading ONLY,Working Memory ONLY
Rock,0.5137876425,80.95%,1.5756
Rock,0.3306878307,47.62%,1.4400
Rock,0.3314731838,80.95%,2.4422
Rock,0.2332337717,76.19%,3.2667
Rock,0.3299860375,76.19%,2.3089
