Genre,combined score,Reading ONLY,Working Memory ONLY
Pop,0.3076750445,80.95%,2.6311
Pop,0.2694088341,61.90%,2.2978
Pop,0.3119185643,95.24%,3.0533
Pop,0.2234895394,80.95%,3.6222
Pop,0.35601125,100.00%,2.8089
